word wordFreq word documentFreq
， 1620492 的 10056
  1357004 了 9986
的 1243282 我 9891
。 656158 是 9858
了 641792 不 9812
！ 577226   9724
我 434690 有 9702
是 428317 ， 9678
. 359706 就 9529
不 278266 好 9514
？ 258895 都 9505
虎 230007 在 9501
扑 228993 啊 9472
你 225490 也 9458
发自 217775 吧 9455
在 197449 你 9405
啊 196729 ？ 9381
就 195222 一 9380
有 189575 这 9339
也 185029 。 9301
都 175563 还 9168
他 155345 看 9149
: 150668 个 9123
。。。 148941 没 9088
这 147082 要 9065
客户端 146436 人 9020
一 143248 ！ 8805
人 126740 很 8800
com 124173 说 8793
个 122445 来 8717
吧 121179 能 8684
说 118599 上 8643
   116550 多 8612
好 115061 还是 8552
和 114339 不是 8511
- 113321 去 8504
： 108302 就是 8482
还 105060 一个 8476
看 103743 被 8449
没 100678 和 8434
, 98032 可以 8428
要 94553 这个 8428
· 91161 没有 8346
一个 85986 他 8324
能 84737 给 8280
很 83674 大 8275
上 82467 什么 8166
、 81195 到 8125
被 79609 想 8123
…… 78018 会 8065
手机 77564 太 8022
Android 76728 现在 7955
hupu 75452 那 7934
m 75427 知道 7746
来 74271 自己 7734
就是 73052 怎么 7647
~ 71397 过 7640
不是 70732 下 7629
多 70272 呢 7612
没有 69931 对 7580
还是 69023 真 7439
iPhone 67892 觉得 7312
去 66046 打 7295
这个 65221 把 7294
可以 63141 这么 7284
会 61313 吗 7264
给 59919 让 7253
打 59086 比 7230
大 58691 点 7225
到 58387 再 7219
1 58029 . 7162
现在 56604 又 7155
自己 56069 几 7108
卡 55772 时候 7103
年 55763 小 7098
什么 55457 得 7088
